"Month","Month_Date","Target","Selected_Model","Forecast","Lower_80","Upper_80","Lower_95","Upper_95"
2025 Jan,2025-01-01,"Average Order Value","ARIMA",2159.45,2097.07,2221.82,2064.05,2254.84
2025 Feb,2025-02-01,"Average Order Value","ARIMA",1989.54,1915.98,2063.1,1877.04,2102.03
2025 Mar,2025-03-01,"Average Order Value","ARIMA",1925.06,1842.84,2007.28,1799.32,2050.8
2025 Apr,2025-04-01,"Average Order Value","ARIMA",1984.33,1895.13,2073.53,1847.91,2120.75
2025 May,2025-05-01,"Average Order Value","ARIMA",1976.97,1882,2071.94,1831.72,2122.21
2025 Jun,2025-06-01,"Average Order Value","ARIMA",2061.65,1961.84,2161.46,1909,2214.3
2025 Jul,2025-07-01,"Average Order Value","ARIMA",1995.56,1891.64,2099.48,1836.63,2154.5
2025 Aug,2025-08-01,"Average Order Value","ARIMA",1946.05,1838.61,2053.48,1781.74,2110.36
2025 Sep,2025-09-01,"Average Order Value","ARIMA",1983.74,1873.28,2094.2,1814.8,2152.67
2025 Oct,2025-10-01,"Average Order Value","ARIMA",1999.22,1886.14,2112.3,1826.28,2172.16
2025 Nov,2025-11-01,"Average Order Value","ARIMA",2018.76,1903.41,2134.11,1842.35,2195.18
2025 Dec,2025-12-01,"Average Order Value","ARIMA",2098.57,1981.23,2215.9,1919.12,2278.01
